dcls_month,fin_co_no,fin_prdt_cd,intr_rate_type,intr_rate_type_nm,rsrv_type,rsrv_type_nm,save_trm,intr_rate,intr_rate2,kor_co_nm,fin_prdt_nm,join_way,mtrt_int,spcl_cnd,join_deny,join_member,etc_note,max_limit,dcls_strt_day,dcls_end_day,fin_co_subm_day
202508,0010345,HK00003,M,복리,S,정액적립식,24,2.7,3.1,애큐온저축은행,직장인우대적금,"영업점,인터넷,스마트폰","만기후 1개월 이내 해지 시 : 약정금리(2019.07.01 신규부터 적용)
만기후 1개월 초과 이후 해지 시 : 보통예금이율(2019.07.01 신규부터 적용)","최대 연 0.40% 우대금리 적용
※ 우대금리 적용조건 
① 첫거래고객(가입시점 당행에 적립식 및 거치식 예금 미보유 고객) : 연 0.2%
② 전자금융거래로 이체/신규/만기해지 7회이상(신규가입일~만기일) : 연 0.1%
③ 개인정보 수집이용 동의(마케팅목적) : 연 0.1%",제한없음,만 19세이상 직장인,"불입금액 : 1만원 이상
1인 1계좌",1000000.0,20250110,,202501101741
202508,0010345,HK00003,M,복리,S,정액적립식,12,2.6,3.0,애큐온저축은행,직장인우대적금,"영업점,인터넷,스마트폰","만기후 1개월 이내 해지 시 : 약정금리(2019.07.01 신규부터 적용)
만기후 1개월 초과 이후 해지 시 : 보통예금이율(2019.07.01 신규부터 적용)","최대 연 0.40% 우대금리 적용
※ 우대금리 적용조건 
① 첫거래고객(가입시점 당행에 적립식 및 거치식 예금 미보유 고객) : 연 0.2%
② 전자금융거래로 이체/신규/만기해지 7회이상(신규가입일~만기일) : 연 0.1%
③ 개인정보 수집이용 동의(마케팅목적) : 연 0.1%",제한없음,만 19세이상 직장인,"불입금액 : 1만원 이상
1인 1계좌",1000000.0,20250110,,202501101741
202508,0010345,HK00003,S,단리,S,정액적립식,36,2.8,3.2,애큐온저축은행,직장인우대적금,"영업점,인터넷,스마트폰","만기후 1개월 이내 해지 시 : 약정금리(2019.07.01 신규부터 적용)
만기후 1개월 초과 이후 해지 시 : 보통예금이율(2019.07.01 신규부터 적용)","최대 연 0.40% 우대금리 적용
※ 우대금리 적용조건 
① 첫거래고객(가입시점 당행에 적립식 및 거치식 예금 미보유 고객) : 연 0.2%
② 전자금융거래로 이체/신규/만기해지 7회이상(신규가입일~만기일) : 연 0.1%
③ 개인정보 수집이용 동의(마케팅목적) : 연 0.1%",제한없음,만 19세이상 직장인,"불입금액 : 1만원 이상
1인 1계좌",1000000.0,20250110,,202501101741
202508,0010345,HK00003,S,단리,S,정액적립식,24,2.7,3.1,애큐온저축은행,직장인우대적금,"영업점,인터넷,스마트폰","만기후 1개월 이내 해지 시 : 약정금리(2019.07.01 신규부터 적용)
만기후 1개월 초과 이후 해지 시 : 보통예금이율(2019.07.01 신규부터 적용)","최대 연 0.40% 우대금리 적용
※ 우대금리 적용조건 
① 첫거래고객(가입시점 당행에 적립식 및 거치식 예금 미보유 고객) : 연 0.2%
② 전자금융거래로 이체/신규/만기해지 7회이상(신규가입일~만기일) : 연 0.1%
③ 개인정보 수집이용 동의(마케팅목적) : 연 0.1%",제한없음,만 19세이상 직장인,"불입금액 : 1만원 이상
1인 1계좌",1000000.0,20250110,,202501101741
202508,0010345,HK00003,S,단리,S,정액적립식,12,2.6,3.0,애큐온저축은행,직장인우대적금,"영업점,인터넷,스마트폰","만기후 1개월 이내 해지 시 : 약정금리(2019.07.01 신규부터 적용)
만기후 1개월 초과 이후 해지 시 : 보통예금이율(2019.07.01 신규부터 적용)","최대 연 0.40% 우대금리 적용
※ 우대금리 적용조건 
① 첫거래고객(가입시점 당행에 적립식 및 거치식 예금 미보유 고객) : 연 0.2%
② 전자금융거래로 이체/신규/만기해지 7회이상(신규가입일~만기일) : 연 0.1%
③ 개인정보 수집이용 동의(마케팅목적) : 연 0.1%",제한없음,만 19세이상 직장인,"불입금액 : 1만원 이상
1인 1계좌",1000000.0,20250110,,202501101741
202508,0010345,HK00101,S,단리,F,자유적립식,12,2.5,5.0,애큐온저축은행,다모아자유적금2,스마트폰,"만기후 1개월 이내 해지 시 : 약정금리(2019.07.01 신규부터 적용)

만기후 1개월 초과 이후 해지 시 : 보통예금이율(2019.07.01 신규부터 적용)","가입일 ~ 만기일까지 마케팅 동의 유지 : 1.0%

만기시까지 당행 오픈뱅킹 잔액모으기를 통한 해당 적금불입횟수 10회이상 : 1.5%",제한없음,제한없음,"가입금액 1천원~20만원
1인1계좌
오픈뱅킹전용가입상품",200000.0,20231227,,202312270852
202508,0010345,HK00101,M,복리,F,자유적립식,12,2.5,5.0,애큐온저축은행,다모아자유적금2,스마트폰,"만기후 1개월 이내 해지 시 : 약정금리(2019.07.01 신규부터 적용)

만기후 1개월 초과 이후 해지 시 : 보통예금이율(2019.07.01 신규부터 적용)","가입일 ~ 만기일까지 마케팅 동의 유지 : 1.0%

만기시까지 당행 오픈뱅킹 잔액모으기를 통한 해당 적금불입횟수 10회이상 : 1.5%",제한없음,제한없음,"가입금액 1천원~20만원
1인1계좌
오픈뱅킹전용가입상품",200000.0,20231227,,202312270852
202508,0010345,HK00102,S,단리,F,자유적립식,12,3.0,8.0,애큐온저축은행,애(愛)랑해적금,스마트폰,"만기후 1개월 이내 해지 시 : 약정금리

만기후 1개월 초과 이후 해지 시 : 보통예금이율","최대 연5.0% 우대금리 적용 
※ 우대금리 적용조건
① 아이사랑우대(임신,출산,자녀)_조건중 1회만 인정 : 연3.5%
② 입출금통장 월 평잔(50만원) 3회이상 : 연 1.5%",제한없음,만 19세 이상 개인,"불입금액 :
1만원 이상 ~ 30만원 이하 
1인 1계좌",300000.0,20241126,,202411260858
202508,0010345,HK00102,M,복리,F,자유적립식,12,3.0,8.0,애큐온저축은행,애(愛)랑해적금,스마트폰,"만기후 1개월 이내 해지 시 : 약정금리

만기후 1개월 초과 이후 해지 시 : 보통예금이율","최대 연5.0% 우대금리 적용 
※ 우대금리 적용조건
① 아이사랑우대(임신,출산,자녀)_조건중 1회만 인정 : 연3.5%
② 입출금통장 월 평잔(50만원) 3회이상 : 연 1.5%",제한없음,만 19세 이상 개인,"불입금액 :
1만원 이상 ~ 30만원 이하 
1인 1계좌",300000.0,20241126,,202411260858
202508,0010345,HK00103,S,단리,S,정액적립식,12,6.5,8.0,애큐온저축은행,처음만난적금,스마트폰,"만기후 1개월 이내 해지시 : 약정금리
만기후 1개월 초과 이후 해지 시 : 보통예금 이율","최대 연5.0% 우대 금리 적용
※우대금리 적용조건
①첫거래 고객 우대 : 연 3.5%(고시금리 포함)
②장기미거래 고객 우대 : 연 2.0%(고시금리 미포함)
③당행 입출금 통장 자동이체 우대(6회이상) : 연 1.5%(고시금리 미포함)
※조건①,조건②의 우대금리는 중복 적용되지 않음",일부제한,실명의 개인중 첫거래(주1) 또는 장기미거래(주2) 고객 (주1)당행 예.적금(입출금이 자유로운 예금 포함) 계좌 최초 신규일로부터 30일 내 고객 (주2)직전 1년간 당행 예.적금(입출금이 자유로운 예금 제외)을 미보유한 고객,"불입금액 :
1만원 이상 ~20만원 이하 
1인 1계좌",200000.0,20250324,,202503241311
202508,0010345,HK00103,M,복리,S,정액적립식,12,6.5,8.0,애큐온저축은행,처음만난적금,스마트폰,"만기후 1개월 이내 해지시 : 약정금리
만기후 1개월 초과 이후 해지 시 : 보통예금 이율","최대 연5.0% 우대 금리 적용
※우대금리 적용조건
①첫거래 고객 우대 : 연 3.5%(고시금리 포함)
②장기미거래 고객 우대 : 연 2.0%(고시금리 미포함)
③당행 입출금 통장 자동이체 우대(6회이상) : 연 1.5%(고시금리 미포함)
※조건①,조건②의 우대금리는 중복 적용되지 않음",일부제한,실명의 개인중 첫거래(주1) 또는 장기미거래(주2) 고객 (주1)당행 예.적금(입출금이 자유로운 예금 포함) 계좌 최초 신규일로부터 30일 내 고객 (주2)직전 1년간 당행 예.적금(입출금이 자유로운 예금 제외)을 미보유한 고객,"불입금액 :
1만원 이상 ~20만원 이하 
1인 1계좌",200000.0,20250324,,202503241311
